#T	<E>/N	<M>/N	chi/N	C/N
1.6201	-0.87632	0.54568	0.96683	1.83302
1.6301	-0.877728	0.54728	0.955104	1.7944
1.6401	-0.872144	0.544152	0.966727	1.81077
1.6501	-0.869328	0.541344	0.969058	1.78244
1.6601	-0.865328	0.539568	0.956277	1.74172
1.6701	-0.853104	0.533632	0.952562	1.7065
1.6801	-0.86584	0.538368	0.937647	1.68154
1.6901	-0.850368	0.528224	0.944686	1.6618
1.7001	-0.848448	0.528296	0.939798	1.66733
1.7101	-0.853552	0.531688	0.935426	1.62466
1.7201	-0.852848	0.52984	0.938817	1.60438
1.7301	-0.841712	0.525936	0.913343	1.57946
1.7401	-0.850608	0.526896	0.919632	1.54887
1.7501	-0.83864	0.522552	0.904879	1.53049
1.7601	-0.842688	0.520152	0.917302	1.5257
1.7701	-0.827424	0.516592	0.89678	1.48024
1.7801	-0.8256	0.511608	0.909369	1.4178
1.7901	-0.83152	0.51132	0.915357	1.45629
1.8001	-0.815888	0.504304	0.870325	1.35348
1.8101	-0.815392	0.506064	0.87536	1.36189
1.8201	-0.820976	0.5074	0.888399	1.38106
1.8301	-0.823184	0.50656	0.898956	1.36467
1.8401	-0.804048	0.495728	0.885026	1.33951
1.8501	-0.813072	0.5002	0.866119	1.31298
1.8601	-0.811776	0.497128	0.877438	1.29407
1.8701	-0.802224	0.493096	0.88726	1.3225
1.8801	-0.807472	0.495984	0.862174	1.27386
1.8901	-0.801728	0.490544	0.861485	1.23964
1.9001	-0.795504	0.48996	0.854313	1.23218
1.9101	-0.788	0.483872	0.833419	1.19629
1.9201	-0.793184	0.485608	0.83783	1.18845
1.9301	-0.782112	0.479024	0.847463	1.18028
1.9401	-0.775184	0.473904	0.840566	1.12945
1.9501	-0.778832	0.475152	0.825388	1.12492
1.9601	-0.780896	0.479048	0.815147	1.11591
1.9701	-0.771424	0.470112	0.82867	1.11011
1.9801	-0.769664	0.4694	0.819582	1.09213
1.9901	-0.764752	0.4674	0.807002	1.06257
2.0001	-0.770736	0.472448	0.799903	1.06257
2.0101	-0.770992	0.46964	0.820849	1.07493
2.0201	-0.764128	0.46948	0.788912	1.0396
2.0301	-0.76168	0.462312	0.804635	1.01818
2.0401	-0.75416	0.46168	0.77232	0.97607
2.0501	-0.7612	0.463584	0.780894	0.986835
2.0601	-0.749792	0.457808	0.770359	0.975157
2.0701	-0.758	0.458752	0.777443	0.986811
2.0801	-0.741376	0.448656	0.776001	0.949487
2.0901	-0.745568	0.456112	0.759546	0.941641
2.1001	-0.737584	0.446136	0.76475	0.933937
2.1101	-0.735584	0.446176	0.770014	0.936014
2.1201	-0.73656	0.449568	0.744199	0.906
2.1301	-0.72944	0.444096	0.748598	0.894485
2.1401	-0.730944	0.441096	0.736677	0.862698
2.1501	-0.727216	0.442512	0.726084	0.858671
2.1601	-0.736064	0.445008	0.741675	0.864683
2.1701	-0.729248	0.44016	0.719834	0.835877
2.1801	-0.729696	0.440792	0.725985	0.838361
2.1901	-0.727056	0.441048	0.714497	0.824108
2.2001	-0.725344	0.441232	0.706496	0.807237
2.2101	-0.720864	0.434128	0.706416	0.804074
2.2201	-0.720272	0.431904	0.703518	0.769387
2.2301	-0.717136	0.428048	0.711651	0.787581
2.2401	-0.712816	0.427688	0.711269	0.782237
2.2501	-0.7044	0.425248	0.683006	0.750664
2.2601	-0.712704	0.42956	0.679139	0.752271
2.2701	-0.711808	0.429784	0.68312	0.748521
2.2801	-0.707136	0.425744	0.686934	0.741989
2.2901	-0.698432	0.419576	0.666893	0.710396
2.3001	-0.703424	0.42272	0.665651	0.716407
2.3101	-0.692192	0.419176	0.649817	0.691932
2.3201	-0.689824	0.413552	0.661358	0.697399
2.3301	-0.69664	0.416504	0.667579	0.693271
2.3401	-0.68112	0.409952	0.655365	0.696716
2.3501	-0.688672	0.415496	0.654221	0.683883
2.3601	-0.689616	0.410288	0.648194	0.65707
2.3701	-0.682256	0.411928	0.643009	0.676011
2.3801	-0.679856	0.40596	0.63925	0.647465
2.3901	-0.685904	0.408792	0.634519	0.643934
2.4001	-0.671488	0.4034	0.619867	0.630444
2.4101	-0.676272	0.403712	0.631452	0.635309
2.4201	-0.684064	0.405848	0.621003	0.611793
2.4301	-0.669232	0.402008	0.60958	0.612325
2.4401	-0.670016	0.401072	0.605944	0.599704
2.4501	-0.665728	0.3994	0.603714	0.604578
2.4601	-0.670512	0.39848	0.611399	0.596256
2.4701	-0.668368	0.398968	0.605102	0.597767
2.4801	-0.662304	0.394512	0.600175	0.57662
2.4901	-0.66416	0.395864	0.589389	0.561721
2.5001	-0.665568	0.397608	0.596309	0.575838
2.5101	-0.657248	0.388816	0.586842	0.547115
2.5201	-0.657504	0.390632	0.585138	0.550748
2.5301	-0.654512	0.387968	0.574939	0.542858
2.5401	-0.652416	0.387648	0.570633	0.535339
2.5501	-0.6544	0.389848	0.568592	0.540432
2.5601	-0.644288	0.384512	0.560423	0.514519
2.5701	-0.648112	0.387008	0.562607	0.519993
2.5801	-0.64456	0.3866	0.561587	0.521754
2.5901	-0.638944	0.383152	0.563762	0.524866
2.6001	-0.644976	0.382968	0.546777	0.499108
2.6101	-0.64528	0.383176	0.557292	0.515684
2.6201	-0.634976	0.37696	0.539366	0.488644
2.6301	-0.634192	0.37488	0.535986	0.476818
2.6401	-0.622224	0.370984	0.521317	0.469299
2.6501	-0.64208	0.383024	0.548772	0.499534
2.6601	-0.627312	0.37248	0.535527	0.479006
2.6701	-0.625376	0.373584	0.52328	0.459835
2.6801	-0.633568	0.377304	0.522566	0.459238
