#T	<E>/N	<M>/N	chi/N	C/N
3.6601	-0.442416	0.294768	0.27734	0.197691
3.6701	-0.444096	0.289056	0.273936	0.198792
3.6801	-0.431104	0.283984	0.261242	0.183629
3.6901	-0.439408	0.286808	0.272342	0.196004
3.7001	-0.41896	0.280928	0.258547	0.189561
3.7101	-0.428	0.285408	0.267371	0.184622
3.7201	-0.432976	0.28976	0.267809	0.195676
3.7301	-0.446784	0.29252	0.271916	0.196315
3.7401	-0.434432	0.282648	0.265679	0.184743
3.7501	-0.424208	0.283096	0.259483	0.182144
3.7601	-0.425296	0.28184	0.254277	0.175912
3.7701	-0.437856	0.288368	0.268031	0.189826
3.7801	-0.4308	0.284752	0.256216	0.183781
3.7901	-0.424496	0.278568	0.253974	0.175453
3.8001	-0.445584	0.288304	0.250176	0.171724
3.8101	-0.436432	0.287504	0.253381	0.171984
3.8201	-0.421216	0.276672	0.251464	0.179302
3.8301	-0.415504	0.282616	0.24718	0.179148
3.8401	-0.421824	0.28156	0.249024	0.179062
3.8501	-0.416912	0.272784	0.251608	0.177646
3.8601	-0.434784	0.285752	0.254241	0.178763
3.8701	-0.424656	0.278744	0.240343	0.165458
3.8801	-0.40544	0.278864	0.252521	0.174881
3.8901	-0.420272	0.280744	0.246337	0.177485
3.9001	-0.423856	0.276936	0.244254	0.173749
3.9101	-0.427888	0.280184	0.245612	0.161159
3.9201	-0.428016	0.2876	0.256972	0.176186
3.9301	-0.4056	0.272736	0.226305	0.164896
3.9401	-0.41192	0.278	0.24113	0.161058
3.9501	-0.422224	0.283632	0.254403	0.176423
3.9601	-0.410272	0.279072	0.237225	0.160599
3.9701	-0.420672	0.272272	0.230719	0.156633
3.9801	-0.42632	0.278864	0.234848	0.151093
3.9901	-0.39968	0.269624	0.227029	0.156952
4.0001	-0.40904	0.27236	0.227082	0.150421
4.0101	-0.422864	0.277776	0.236755	0.164269
4.0201	-0.403184	0.27068	0.234841	0.15859
4.0301	-0.390368	0.26908	0.223759	0.151353
4.0401	-0.433792	0.290032	0.243165	0.166375
4.0501	-0.4088	0.274392	0.224958	0.152007
4.0601	-0.4116	0.274704	0.226856	0.153848
4.0701	-0.402512	0.271664	0.225722	0.151092
4.0801	-0.405312	0.27356	0.225815	0.152714
4.0901	-0.407232	0.276808	0.225352	0.148237
4.1001	-0.416304	0.273376	0.221401	0.144681
4.1101	-0.409056	0.279888	0.223193	0.148391
4.1201	-0.397472	0.273688	0.227795	0.151967
4.1301	-0.407584	0.270616	0.218592	0.143368
4.1401	-0.411424	0.270224	0.224693	0.149903
4.1501	-0.4188	0.278184	0.224888	0.15075
4.1601	-0.414624	0.28056	0.229731	0.154173
4.1701	-0.397264	0.266632	0.212184	0.136739
4.1801	-0.394848	0.263256	0.208006	0.134912
4.1901	-0.377664	0.264552	0.196341	0.128887
4.2001	-0.391552	0.26648	0.206191	0.133269
4.2101	-0.417616	0.269352	0.218141	0.133473
4.2201	-0.396992	0.273328	0.214571	0.143409
4.2301	-0.409728	0.276152	0.220772	0.149537
4.2401	-0.402352	0.265648	0.20543	0.128534
4.2501	-0.404816	0.262696	0.19971	0.125142
4.2601	-0.402864	0.27052	0.213796	0.139901
4.2701	-0.402656	0.262816	0.2044	0.131193
4.2801	-0.39056	0.267064	0.203343	0.125697
4.2901	-0.382976	0.269752	0.212541	0.142629
4.3001	-0.397312	0.26508	0.208089	0.144037
4.3101	-0.388464	0.267792	0.213939	0.13683
4.3201	-0.409936	0.273432	0.218327	0.143047
4.3301	-0.383616	0.260752	0.205686	0.129453
4.3401	-0.39248	0.267504	0.199863	0.131904
4.3501	-0.40552	0.266056	0.195045	0.119465
4.3601	-0.384432	0.263976	0.200296	0.12884
4.3701	-0.379632	0.259688	0.193132	0.123474
4.3801	-0.384944	0.255608	0.189276	0.122656
4.3901	-0.395488	0.264136	0.194079	0.121704
4.4001	-0.381968	0.261048	0.19102	0.116986
4.4101	-0.391792	0.261408	0.189485	0.114544
4.4201	-0.397872	0.261136	0.200661	0.129326
4.4301	-0.391344	0.268528	0.191513	0.116248
4.4401	-0.387328	0.26384	0.200356	0.124449
4.4501	-0.381968	0.260576	0.197477	0.123021
4.4601	-0.387552	0.259536	0.18444	0.113048
4.4701	-0.391808	0.257776	0.189842	0.123664
4.4801	-0.363728	0.254024	0.185505	0.124698
4.4901	-0.38248	0.260328	0.186053	0.119159
4.5001	-0.383424	0.263904	0.195406	0.124899
4.5101	-0.386384	0.261712	0.186452	0.116656
4.5201	-0.389168	0.259608	0.18793	0.11395
4.5301	-0.379696	0.258608	0.186539	0.116269
4.5401	-0.366016	0.260248	0.184649	0.11358
4.5501	-0.382016	0.25836	0.185615	0.117505
4.5601	-0.385024	0.26012	0.181706	0.114548
4.5701	-0.379184	0.256848	0.184897	0.108867
4.5801	-0.376608	0.259568	0.1777	0.109724
4.5901	-0.371952	0.256696	0.181889	0.115496
4.6001	-0.378784	0.25892	0.192596	0.114246
4.6101	-0.389024	0.26808	0.190038	0.109477
4.6201	-0.356272	0.253408	0.178549	0.115837
4.6301	-0.37368	0.262792	0.179253	0.107911
4.6401	-0.366736	0.250896	0.174467	0.106062
4.6501	-0.360272	0.258536	0.179778	0.107026
4.6601	-0.367744	0.252	0.170266	0.103682
4.6701	-0.373696	0.253536	0.185554	0.112066
4.6801	-0.373472	0.25732	0.182394	0.114414
4.6901	-0.377728	0.252912	0.17594	0.10455
4.7001	-0.356976	0.248888	0.163614	0.105646
4.7101	-0.366416	0.251936	0.171204	0.101478
4.7201	-0.371264	0.254256	0.169781	0.103102
4.7301	-0.350352	0.24948	0.165536	0.099837
4.7401	-0.369312	0.260224	0.175203	0.102253
4.7501	-0.373552	0.256416	0.172186	0.102361
4.7601	-0.368448	0.249224	0.172047	0.106923
4.7701	-0.37	0.249296	0.165353	0.101087
4.7801	-0.3584	0.255072	0.171608	0.100353
4.7901	-0.35776	0.243504	0.160794	0.103357
4.8001	-0.37144	0.256416	0.172066	0.101019
4.8101	-0.341872	0.248504	0.160858	0.102427
4.8201	-0.353104	0.250664	0.16665	0.0993548
4.8301	-0.35144	0.243744	0.153418	0.0895508
4.8401	-0.38176	0.263936	0.175827	0.106032
4.8501	-0.369696	0.249216	0.168077	0.0985032
4.8601	-0.352528	0.25408	0.166595	0.101354
4.8701	-0.352848	0.254	0.164996	0.102432
4.8801	-0.364288	0.25228	0.166175	0.0945079
4.8901	-0.347472	0.242424	0.159711	0.0990874
4.9001	-0.352672	0.246024	0.166009	0.0926057
4.9101	-0.345232	0.248792	0.153353	0.0886672
4.9201	-0.35712	0.248632	0.159878	0.0950395
4.9301	-0.362336	0.252536	0.163659	0.100332
4.9401	-0.353776	0.251248	0.157731	0.0928622
4.9501	-0.372896	0.254904	0.170686	0.0977181
4.9601	-0.35824	0.252968	0.159523	0.0953676
4.9701	-0.3588	0.253792	0.168002	0.0978994
4.9801	-0.353136	0.253616	0.156175	0.0916261
4.9901	-0.346528	0.247088	0.153236	0.0952687
5.0001	-0.348416	0.249	0.157262	0.0936374
