#T	<E>/N	<M>/N	chi/N	C/N
2.4301	-1.39677	0.755464	0.654649	0.948178
2.4401	-1.39315	0.753488	0.656155	0.935787
2.4501	-1.3493	0.730904	0.702993	0.968715
2.4601	-1.33979	0.727136	0.702127	0.968609
2.4701	-1.36488	0.741176	0.6604	0.915827
2.4801	-1.35794	0.738488	0.65667	0.916527
2.4901	-1.35317	0.735944	0.673713	0.936423
2.5001	-1.33221	0.725416	0.672678	0.907409
2.5101	-1.33322	0.72664	0.677883	0.92541
2.5201	-1.29389	0.704056	0.713374	0.912849
2.5301	-1.31619	0.719512	0.671453	0.885689
2.5401	-1.26867	0.6914	0.730188	0.920425
2.5501	-1.278	0.698936	0.708883	0.903561
2.5601	-1.27366	0.694272	0.720858	0.896164
2.5701	-1.27166	0.695056	0.706287	0.896204
2.5801	-1.25683	0.68864	0.697482	0.88144
2.5901	-1.23381	0.677432	0.713194	0.874896
2.6001	-1.22738	0.673008	0.71501	0.859771
2.6101	-1.22619	0.671248	0.726068	0.878999
2.6201	-1.2325	0.6752	0.720314	0.887307
2.6301	-1.21085	0.664896	0.714969	0.846447
2.6401	-1.18723	0.64796	0.761601	0.871893
2.6501	-1.17568	0.64636	0.731413	0.851771
2.6601	-1.19402	0.658048	0.711162	0.831804
2.6701	-1.15602	0.632504	0.76494	0.846153
2.6801	-1.17104	0.642488	0.749586	0.853065
2.6901	-1.13803	0.622816	0.755735	0.815645
2.7001	-1.13549	0.620896	0.756664	0.82397
2.7101	-1.14166	0.623064	0.760614	0.813895
2.7201	-1.13918	0.624136	0.745777	0.806742
2.7301	-1.11678	0.616416	0.725101	0.782001
2.7401	-1.11366	0.613888	0.731831	0.78536
2.7501	-1.11477	0.612048	0.737202	0.781173
2.7601	-1.07846	0.59232	0.745456	0.75982
2.7701	-1.08149	0.59792	0.724683	0.763039
2.7801	-1.06542	0.58616	0.728335	0.740583
2.7901	-1.08499	0.595752	0.751026	0.766564
2.8001	-1.05806	0.585216	0.709955	0.720271
2.8101	-1.05362	0.581088	0.715676	0.710154
2.8201	-1.07366	0.591912	0.729	0.732525
2.8301	-1.05384	0.580664	0.720703	0.715555
2.8401	-1.05053	0.580224	0.700758	0.692359
2.8501	-1.02821	0.566632	0.710809	0.691039
2.8601	-1.03355	0.573128	0.69664	0.684666
2.8701	-1.03078	0.569728	0.712205	0.701674
2.8801	-1.01408	0.558504	0.702845	0.666494
2.8901	-0.996784	0.54936	0.699032	0.663804
2.9001	-0.981392	0.542424	0.69392	0.650786
2.9101	-0.991088	0.551616	0.693739	0.664165
2.9201	-0.975936	0.541832	0.697041	0.662479
2.9301	-0.969264	0.539504	0.678615	0.627936
2.9401	-0.965808	0.530392	0.682101	0.622578
2.9501	-0.968048	0.53572	0.684207	0.630836
2.9601	-0.950352	0.524208	0.679136	0.602776
2.9701	-0.956432	0.532936	0.663	0.610371
2.9801	-0.933712	0.516048	0.652873	0.580649
2.9901	-0.94328	0.521664	0.672896	0.606884
3.0001	-0.948032	0.523152	0.671777	0.603608
3.0101	-0.940912	0.520904	0.661611	0.578114
3.0201	-0.913712	0.503592	0.654889	0.56678
3.0301	-0.915072	0.507032	0.650668	0.56928
3.0401	-0.931008	0.518264	0.647117	0.576622
3.0501	-0.894752	0.496456	0.631475	0.54333
3.0601	-0.925904	0.515104	0.652133	0.577285
3.0701	-0.898416	0.496224	0.643694	0.544826
3.0801	-0.893392	0.498432	0.632682	0.538639
3.0901	-0.882	0.491288	0.615172	0.521046
3.1001	-0.878304	0.488056	0.627792	0.532537
3.1101	-0.871632	0.485624	0.609938	0.510742
3.1201	-0.872336	0.483024	0.629301	0.528763
3.1301	-0.862816	0.47948	0.612569	0.510527
3.1401	-0.868576	0.485824	0.608404	0.515954
3.1501	-0.856944	0.474712	0.612086	0.504211
3.1601	-0.859056	0.481608	0.596244	0.496887
3.1701	-0.847984	0.473424	0.579315	0.465844
3.1801	-0.832336	0.463728	0.591339	0.474822
3.1901	-0.825472	0.459592	0.57647	0.461341
3.2001	-0.829392	0.460032	0.584777	0.468174
3.2101	-0.831696	0.46584	0.57148	0.455555
3.2201	-0.800464	0.441888	0.552442	0.429919
3.2301	-0.811264	0.453328	0.55097	0.43438
3.2401	-0.807744	0.450816	0.562142	0.441665
3.2501	-0.79888	0.44728	0.548804	0.427082
3.2601	-0.81016	0.45344	0.553444	0.431572
3.2701	-0.797872	0.44556	0.547803	0.422512
3.2801	-0.79368	0.44408	0.543115	0.417324
3.2901	-0.784592	0.43996	0.533601	0.416037
3.3001	-0.795264	0.444792	0.539955	0.415729
3.3101	-0.783872	0.43776	0.541413	0.418684
3.3201	-0.800688	0.448968	0.536173	0.41096
3.3301	-0.78384	0.437816	0.537149	0.412074
3.3401	-0.769168	0.429912	0.511659	0.385865
3.3501	-0.77744	0.43628	0.529796	0.399113
3.3601	-0.758336	0.423936	0.510827	0.379002
3.3701	-0.768528	0.434472	0.522587	0.399404
3.3801	-0.765936	0.43136	0.519035	0.386825
3.3901	-0.766928	0.431344	0.511055	0.382553
3.4001	-0.753216	0.428992	0.49421	0.368682
3.4101	-0.744096	0.41776	0.495644	0.35982
3.4201	-0.746944	0.41876	0.498999	0.369949
3.4301	-0.746	0.423784	0.49385	0.371366
3.4401	-0.745552	0.421264	0.487342	0.36092
3.4501	-0.742	0.4152	0.49407	0.354357
3.4601	-0.72832	0.409584	0.477371	0.344652
3.4701	-0.72496	0.40872	0.477926	0.343452
3.4801	-0.709808	0.401008	0.461414	0.332888
3.4901	-0.724688	0.41172	0.476848	0.349699
3.5001	-0.728576	0.413496	0.477808	0.344187
3.5101	-0.702064	0.396688	0.460882	0.332713
3.5201	-0.711648	0.403696	0.460744	0.331411
3.5301	-0.710592	0.4004	0.461049	0.321445
3.5401	-0.69904	0.392824	0.454792	0.320668
3.5501	-0.702848	0.398832	0.453539	0.320452
3.5601	-0.70728	0.398864	0.45596	0.318951
3.5701	-0.690688	0.392416	0.428609	0.298008
3.5801	-0.682464	0.384648	0.440013	0.306528
3.5901	-0.681856	0.385888	0.433035	0.303572
3.6001	-0.68208	0.38532	0.437816	0.30513
3.6101	-0.671744	0.377424	0.420561	0.288102
3.6201	-0.678704	0.38344	0.419292	0.28419
3.6301	-0.67288	0.38112	0.426633	0.289993
